Order_ID,Customer_ID,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Cost,Profit,Order_Date
ORD10037,CUST1459,South,Furniture,Chairs,Office Chair,8,709.79,561.87,147.92,2022-09-13
ORD10038,CUST1895,North,Furniture,Bookcases,Wood Bookcase,1,773.56,409.69,363.87,2023-10-30
ORD10039,CUST1553,North,Technology,Phones,iPhone Model A,7,364.88,199.35,165.53,2023-05-13
ORD10040,CUST1492,South,Furniture,Chairs,Ergo Chair,7,864.47,647.76,216.71,2022-01-03
ORD10041,CUST1399,East,Furniture,Tables,Office Desk,9,337.59,177.38,160.21,2023-11-09
ORD10042,CUST1735,West,Technology,Phones,Galaxy Model B,4,317.87,200.28,117.59,2022-03-01
ORD10043,CUST1593,North,Office Supplies,Paper,A4 Paper Pack,1,732.31,552.91,179.4,2023-08-22
ORD10044,CUST1488,South,Technology,Copiers,Office Copier X,3,888.34,611.96,276.38,2022-03-12
ORD10045,CUST1609,North,Office Supplies,Binders,Binder B,2,128.4,100.83,27.57,2023-08-07
ORD10046,CUST1252,North,Office Supplies,Binders,Binder B,10,763.18,552.93,210.25,2023-08-02
ORD10047,CUST1535,East,Furniture,Chairs,Office Chair,4,773.26,539.36,233.9,2022-09-29
ORD10048,CUST1405,South,Office Supplies,Storage,File Storage,8,527.51,353.97,173.54,2022-11-20
ORD10049,CUST1951,North,Technology,Accessories,Headphones,10,35.16,19.1,16.06,2022-04-13
ORD10050,CUST1075,South,Office Supplies,Paper,A4 Paper Pack,6,41.11,31.02,10.09,2022-03-12
ORD10051,CUST1900,South,Furniture,Tables,Conference Table,8,321.21,225.95,95.26,2024-05-03
ORD10052,CUST1556,East,Office Supplies,Storage,Storage Box,9,908.49,544.84,363.65,2022-11-03
ORD10053,CUST1954,North,Technology,Accessories,USB Cable,2,416.28,333.95,82.33,2024-01-31
ORD10054,CUST1566,South,Furniture,Tables,Conference Table,6,236.51,125.54,110.97,2022-07-28
ORD10055,CUST1703,East,Office Supplies,Paper,Premium Paper Pack,1,296.85,167.57,129.28,2022-04-05
ORD10056,CUST1649,West,Furniture,Chairs,Ergo Chair,6,930.4,765.95,164.45,2024-02-29
ORD10057,CUST1133,East,Technology,Copiers,Office Copier Y,9,637.07,540.61,96.46,2023-12-24
ORD10058,CUST1437,North,Technology,Phones,Pixel Model C,3,805.64,462.94,342.7,2023-07-13
ORD10059,CUST1036,East,Office Supplies,Storage,Storage Box,7,893.63,639.6,254.03,2022-05-11
ORD10060,CUST1042,East,Furniture,Chairs,Office Chair,4,809.37,694.79,114.58,2023-11-30
ORD10061,CUST1255,North,Furniture,Bookcases,Metal Bookcase,10,324.82,176.71,148.11,2024-02-07
ORD10062,CUST1158,South,Technology,Phones,Galaxy Model B,1,235.66,158.09,77.57,2022-07-03
ORD10063,CUST1754,East,Furniture,Bookcases,Wood Bookcase,5,819.83,692.18,127.65,2022-06-13
ORD10064,CUST1806,North,Furniture,Chairs,Office Chair,4,16.88,11.89,4.99,2022-07-24
ORD10065,CUST1836,West,Furniture,Tables,Conference Table,4,423.24,249.22,174.02,2022-01-25
ORD10066,CUST1675,South,Furniture,Tables,Office Desk,2,128.67,81.71,46.96,2024-03-02
ORD10067,CUST1285,East,Office Supplies,Storage,File Storage,9,943.48,593.71,349.77,2022-12-06
ORD10068,CUST1961,North,Technology,Accessories,USB Cable,10,523.6,409.04,114.56,2022-09-29
ORD10069,CUST1039,North,Office Supplies,Paper,Premium Paper Pack,6,369.99,328.81,41.18,2023-03-23
ORD10070,CUST1620,North,Furniture,Bookcases,Wood Bookcase,5,962.82,578.38,384.44,2022-02-15
ORD10071,CUST1725,West,Technology,Copiers,Office Copier X,6,502.28,311.59,190.69,2023-03-18
ORD10072,CUST1071,East,Office Supplies,Paper,A4 Paper Pack,5,291.99,150.3,141.69,2023-06-04
ORD10073,CUST1316,West,Furniture,Tables,Office Desk,9,613.47,430.09,183.38,2022-05-11
ORD10074,CUST1196,West,Office Supplies,Paper,A4 Paper Pack,10,60.96,37.27,23.69,2023-08-06
ORD10075,CUST1308,West,Office Supplies,Binders,Binder B,5,909.18,541.71,367.47,2022-08-04
ORD10076,CUST1440,East,Furniture,Tables,Office Desk,4,153.45,106.77,46.68,2023-06-08
ORD10077,CUST1484,South,Office Supplies,Binders,Binder B,9,985.79,588.34,397.45,2023-11-11
ORD10078,CUST1648,East,Technology,Phones,Pixel Model C,5,675.41,543.47,131.94,2022-08-19
ORD10079,CUST1825,South,Technology,Phones,iPhone Model A,4,245.26,194.07,51.19,2023-05-02
ORD10080,CUST1625,North,Furniture,Tables,Conference Table,7,374.11,281.68,92.43,2023-05-22
ORD10081,CUST1409,South,Technology,Copiers,Office Copier X,2,637.19,455.15,182.04,2024-03-08
ORD10082,CUST1435,South,Technology,Copiers,Office Copier Y,1,99.39,82.9,16.49,2023-07-25
ORD10083,CUST1255,North,Furniture,Chairs,Office Chair,9,327.57,188.22,139.35,2023-07-27
ORD10084,CUST1609,East,Furniture,Bookcases,Metal Bookcase,9,50.37,37.09,13.28,2023-04-02
ORD10085,CUST1918,South,Office Supplies,Paper,Premium Paper Pack,5,680.79,344.91,335.88,2024-02-09
ORD10086,CUST1253,East,Office Supplies,Paper,A4 Paper Pack,5,516.97,305.32,211.65,2023-03-27
ORD10087,CUST1079,East,Technology,Accessories,Wireless Charger,6,648.72,369.61,279.11,2023-07-08
ORD10088,CUST1082,South,Technology,Phones,Galaxy Model B,3,694.03,454.38,239.65,2023-12-25
ORD10089,CUST1219,North,Furniture,Tables,Office Desk,9,937.36,520.24,417.12,2023-04-23
ORD10090,CUST1425,North,Technology,Accessories,Wireless Charger,10,347.66,189.61,158.05,2023-12-14
ORD10091,CUST1020,West,Furniture,Chairs,Office Chair,5,925.45,787.5,137.95,2024-02-11
ORD10092,CUST1399,West,Office Supplies,Storage,Storage Box,8,265.36,202.73,62.63,2022-08-13
ORD10093,CUST1279,West,Furniture,Chairs,Office Chair,6,819.05,591.42,227.63,2023-11-16
ORD10094,CUST1695,West,Office Supplies,Binders,Binder B,3,534.35,318.87,215.48,2023-09-30
ORD10095,CUST1546,North,Furniture,Bookcases,Wood Bookcase,2,102.17,87.75,14.42,2023-10-21
ORD10096,CUST1438,South,Furniture,Chairs,Ergo Chair,5,901.41,678.98,222.43,2023-01-24
ORD10097,CUST1335,South,Furniture,Tables,Office Desk,7,345.64,221.1,124.54,2022-10-12
ORD10098,CUST1770,West,Furniture,Chairs,Office Chair,1,728.7,625.84,102.86,2024-02-07
ORD10099,CUST1552,North,Furniture,Chairs,Ergo Chair,1,888.22,721.19,167.03,2024-02-12
ORD10100,CUST1031,South,Technology,Phones,Pixel Model C,3,645.61,344.53,301.08,2022-09-02
ORD10101,CUST1129,West,Office Supplies,Binders,Binder A,8,170.01,146.11,23.9,2023-12-18
ORD10102,CUST1262,East,Technology,Copiers,Office Copier X,3,610.36,307.43,302.93,2022-11-15
ORD10103,CUST1110,North,Furniture,Bookcases,Metal Bookcase,7,110.46,84.55,25.91,2024-01-03
ORD10104,CUST1203,North,Office Supplies,Storage,Storage Box,2,15.01,8.47,6.54,2023-12-15
ORD10105,CUST1791,East,Office Supplies,Storage,Storage Box,10,553.25,429.74,123.51,2024-03-12
ORD10106,CUST1042,East,Office Supplies,Paper,Premium Paper Pack,2,655.44,386.52,268.92,2023-06-03
ORD10107,CUST1663,East,Technology,Accessories,Wireless Charger,2,715.06,425.39,289.67,2023-03-20
ORD10108,CUST1983,East,Office Supplies,Paper,A4 Paper Pack,7,332.15,265.25,66.9,2022-06-30
ORD10109,CUST1751,East,Office Supplies,Storage,File Storage,8,653.14,548.43,104.71,2023-03-23
ORD10110,CUST1845,East,Furniture,Chairs,Ergo Chair,5,661.04,480.79,180.25,2023-04-07
ORD10111,CUST1249,West,Office Supplies,Storage,File Storage,6,102.74,66.48,36.26,2022-01-30
ORD10112,CUST1506,East,Technology,Accessories,USB Cable,6,272.55,162.87,109.68,2024-03-27
ORD10113,CUST1264,East,Furniture,Bookcases,Metal Bookcase,9,973.28,639.68,333.6,2022-01-11
ORD10114,CUST1529,South,Technology,Phones,Pixel Model C,7,893.13,672.04,221.09,2023-05-16
ORD10115,CUST1568,South,Office Supplies,Paper,Premium Paper Pack,8,796.86,558.64,238.22,2024-03-22
ORD10116,CUST1017,North,Furniture,Chairs,Office Chair,4,581.13,405.05,176.08,2022-11-10
ORD10117,CUST1679,East,Furniture,Bookcases,Metal Bookcase,7,203.29,160.39,42.9,2024-02-03
ORD10118,CUST1563,East,Furniture,Bookcases,Metal Bookcase,5,287.96,146.78,141.18,2022-11-10
ORD10119,CUST1257,South,Technology,Copiers,Office Copier X,6,649.02,370.49,278.53,2022-05-03
ORD10120,CUST1760,South,Technology,Phones,Pixel Model C,8,941.05,829.6,111.45,2022-10-11
ORD10121,CUST1741,East,Technology,Phones,Galaxy Model B,4,915.72,593.44,322.28,2023-01-05
ORD10122,CUST1183,East,Technology,Copiers,Office Copier X,5,25.3,22.04,3.26,2022-02-16
ORD10123,CUST1997,North,Office Supplies,Paper,A4 Paper Pack,8,433.9,384.72,49.18,2022-04-16
ORD10124,CUST1893,North,Office Supplies,Paper,Premium Paper Pack,8,963.98,810.9,153.08,2023-03-28
ORD10125,CUST1348,South,Technology,Accessories,Wireless Charger,2,301.5,197.19,104.31,2024-04-21
ORD10126,CUST1066,West,Furniture,Chairs,Ergo Chair,3,852.63,534.4,318.23,2022-06-02
ORD10127,CUST1830,East,Technology,Phones,iPhone Model A,9,177.8,128.5,49.3,2024-02-22
ORD10128,CUST1426,South,Office Supplies,Paper,Premium Paper Pack,8,936.79,729.21,207.58,2022-11-01
ORD10129,CUST1880,West,Furniture,Bookcases,Wood Bookcase,10,574.36,309.51,264.85,2024-01-28
ORD10130,CUST1101,South,Office Supplies,Binders,Binder B,2,618.86,554.51,64.35,2022-06-10
ORD10131,CUST1245,South,Office Supplies,Binders,Binder A,1,148.68,105.17,43.51,2023-02-23
ORD10132,CUST1461,West,Furniture,Chairs,Ergo Chair,5,878.6,699.64,178.96,2023-12-25
ORD10133,CUST1289,West,Technology,Copiers,Office Copier X,5,700.05,546.73,153.32,2024-03-17
ORD10134,CUST1810,South,Furniture,Chairs,Ergo Chair,3,365.9,225.92,139.98,2022-09-30
ORD10135,CUST1846,South,Technology,Phones,iPhone Model A,5,811.27,668.52,142.75,2023-09-02
ORD10136,CUST1766,East,Furniture,Chairs,Office Chair,5,868.4,751.42,116.98,2023-12-18
ORD10137,CUST1412,East,Office Supplies,Storage,File Storage,8,516.23,361.67,154.56,2022-03-24
ORD10138,CUST1612,North,Furniture,Bookcases,Metal Bookcase,10,800.31,608.22,192.09,2022-09-14
ORD10139,CUST1026,North,Technology,Copiers,Office Copier X,5,704.95,576.87,128.08,2023-08-14
ORD10140,CUST1041,South,Furniture,Bookcases,Metal Bookcase,5,891.11,566.03,325.08,2022-07-05
ORD10141,CUST1599,West,Office Supplies,Paper,A4 Paper Pack,8,381.83,205.27,176.56,2022-12-23
ORD10142,CUST1418,East,Furniture,Bookcases,Wood Bookcase,3,582.5,299.62,282.88,2022-12-04
ORD10143,CUST1421,West,Furniture,Bookcases,Metal Bookcase,9,470.94,337.69,133.25,2022-02-07
ORD10144,CUST1465,North,Furniture,Tables,Office Desk,2,293.68,216.25,77.43,2024-03-02
ORD10145,CUST1413,North,Office Supplies,Storage,File Storage,7,40.2,20.7,19.5,2022-02-25
ORD10146,CUST1192,East,Office Supplies,Paper,Premium Paper Pack,1,824.37,530.96,293.41,2022-07-28
ORD10147,CUST1273,South,Furniture,Tables,Office Desk,2,135.79,96.26,39.53,2022-01-30
ORD10148,CUST1996,South,Office Supplies,Binders,Binder B,9,772.29,452.82,319.47,2022-01-15
ORD10149,CUST1565,West,Technology,Phones,iPhone Model A,8,626.66,334.72,291.94,2022-05-01
ORD10150,CUST1663,South,Furniture,Bookcases,Metal Bookcase,9,61.16,43.58,17.58,2023-12-24
ORD10151,CUST1279,West,Furniture,Tables,Conference Table,8,545.23,411.63,133.6,2023-07-19
ORD10152,CUST1148,West,Technology,Copiers,Office Copier X,2,728.83,648.91,79.92,2022-10-10
ORD10153,CUST1791,West,Furniture,Bookcases,Metal Bookcase,1,521.14,327.89,193.25,2022-10-17
ORD10154,CUST1743,East,Office Supplies,Storage,File Storage,3,797.23,484.98,312.25,2023-04-03
ORD10155,CUST1551,West,Furniture,Tables,Office Desk,8,444.58,236.24,208.34,2022-11-26
ORD10156,CUST1890,South,Office Supplies,Binders,Binder B,4,35.1,31.07,4.03,2024-05-26
ORD10157,CUST1794,West,Technology,Accessories,Headphones,8,837.62,651.99,185.63,2023-12-24
ORD10158,CUST1935,West,Furniture,Bookcases,Wood Bookcase,8,414.86,236.19,178.67,2022-02-07
ORD10159,CUST1129,East,Technology,Accessories,USB Cable,9,164.87,98.94,65.93,2023-04-13
ORD10160,CUST1015,South,Furniture,Bookcases,Wood Bookcase,2,553.73,435.14,118.59,2023-04-26
ORD10161,CUST1800,East,Furniture,Bookcases,Metal Bookcase,2,663.6,406.11,257.49,2024-05-22
ORD10162,CUST1336,West,Furniture,Bookcases,Metal Bookcase,9,955.32,759.63,195.69,2022-02-06
ORD10163,CUST1632,North,Technology,Copiers,Office Copier Y,4,558.81,416.14,142.67,2024-02-04
ORD10164,CUST1092,West,Technology,Copiers,Office Copier X,8,425.4,254.85,170.55,2022-06-20
ORD10165,CUST1710,East,Technology,Phones,Galaxy Model B,1,362.41,291.07,71.34,2022-10-28
ORD10166,CUST1367,East,Furniture,Chairs,Ergo Chair,9,24.25,13.25,11.0,2023-02-26
ORD10167,CUST1579,South,Technology,Phones,iPhone Model A,10,55.54,28.67,26.87,2024-06-10
ORD10168,CUST1391,South,Furniture,Bookcases,Wood Bookcase,4,856.91,669.64,187.27,2023-04-18
ORD10169,CUST1653,East,Furniture,Tables,Conference Table,8,479.43,258.48,220.95,2022-10-22
ORD10170,CUST1693,South,Technology,Accessories,Wireless Charger,10,496.7,342.42,154.28,2022-11-03
ORD10171,CUST1654,West,Office Supplies,Paper,Premium Paper Pack,5,181.47,122.23,59.24,2022-07-23
ORD10172,CUST1393,West,Technology,Phones,Galaxy Model B,10,404.52,301.91,102.61,2023-01-03
ORD10173,CUST1588,East,Office Supplies,Paper,A4 Paper Pack,7,638.74,330.94,307.8,2022-10-09
ORD10174,CUST1008,North,Office Supplies,Storage,File Storage,5,380.87,285.78,95.09,2024-03-05
ORD10175,CUST1818,South,Office Supplies,Paper,A4 Paper Pack,4,508.1,428.12,79.98,2023-09-28
ORD10176,CUST1256,South,Office Supplies,Binders,Binder A,5,662.11,374.21,287.9,2024-03-18
ORD10177,CUST1451,North,Office Supplies,Paper,A4 Paper Pack,2,79.86,60.45,19.41,2022-10-30
ORD10178,CUST1334,West,Technology,Phones,iPhone Model A,9,36.25,26.62,9.63,2024-06-16
ORD10179,CUST1994,East,Office Supplies,Storage,File Storage,3,940.83,686.98,253.85,2022-09-21
ORD10180,CUST1935,West,Furniture,Bookcases,Metal Bookcase,2,394.29,298.6,95.69,2023-04-25
ORD10181,CUST1986,North,Technology,Phones,Pixel Model C,7,463.67,333.03,130.64,2024-05-16
ORD10182,CUST1823,East,Technology,Accessories,USB Cable,5,942.05,616.52,325.53,2023-07-04
ORD10183,CUST1126,West,Furniture,Bookcases,Metal Bookcase,10,961.58,829.02,132.56,2023-01-26
ORD10184,CUST1842,East,Technology,Copiers,Office Copier X,8,203.83,107.57,96.26,2022-01-26
ORD10185,CUST1634,East,Office Supplies,Binders,Binder A,8,109.77,55.69,54.08,2023-12-19
ORD10186,CUST1309,West,Technology,Phones,iPhone Model A,1,103.5,80.03,23.47,2022-11-08
ORD10187,CUST1504,North,Technology,Phones,Pixel Model C,3,80.48,50.51,29.97,2023-02-02
ORD10188,CUST1464,East,Office Supplies,Storage,File Storage,10,846.43,431.09,415.34,2024-01-31
ORD10189,CUST1744,South,Furniture,Bookcases,Wood Bookcase,8,816.32,500.19,316.13,2023-09-23
ORD10190,CUST1417,East,Technology,Copiers,Office Copier Y,4,126.98,98.88,28.1,2023-03-31
ORD10191,CUST1455,South,Furniture,Chairs,Office Chair,9,632.65,538.38,94.27,2023-10-23
ORD10192,CUST1367,North,Furniture,Tables,Conference Table,2,737.72,605.96,131.76,2024-05-18
ORD10193,CUST1843,West,Technology,Copiers,Office Copier X,10,289.21,165.13,124.08,2022-01-22
ORD10194,CUST1051,East,Technology,Phones,Pixel Model C,4,753.11,619.61,133.5,2022-03-12
ORD10195,CUST1849,South,Office Supplies,Binders,Binder A,6,990.6,658.8,331.8,2024-03-03
ORD10196,CUST1151,North,Furniture,Chairs,Ergo Chair,9,378.3,306.64,71.66,2022-09-14
ORD10197,CUST1817,South,Technology,Copiers,Office Copier X,3,347.4,303.04,44.36,2022-01-16
ORD10198,CUST1366,South,Office Supplies,Paper,A4 Paper Pack,3,859.83,577.46,282.37,2022-09-29
ORD10199,CUST1053,South,Office Supplies,Paper,A4 Paper Pack,2,753.36,604.06,149.3,2023-05-03
ORD10200,CUST1459,East,Office Supplies,Storage,Storage Box,8,112.09,96.51,15.58,2023-05-31
ORD10201,CUST1226,North,Office Supplies,Storage,File Storage,8,510.2,423.76,86.44,2023-10-21
ORD10202,CUST1987,North,Technology,Accessories,Wireless Charger,7,326.85,280.51,46.34,2023-12-04
ORD10203,CUST1110,West,Office Supplies,Paper,A4 Paper Pack,2,395.31,199.37,195.94,2022-11-26
ORD10204,CUST1622,South,Technology,Phones,Galaxy Model B,10,906.33,486.26,420.07,2023-10-11
ORD10205,CUST1599,East,Furniture,Bookcases,Metal Bookcase,8,326.12,286.99,39.13,2023-06-02
ORD10206,CUST1619,West,Technology,Copiers,Office Copier X,9,951.1,693.71,257.39,2024-01-09
ORD10207,CUST1886,South,Furniture,Tables,Conference Table,7,635.52,431.76,203.76,2022-12-14
ORD10208,CUST1847,West,Furniture,Tables,Conference Table,6,300.28,189.62,110.66,2023-03-14
ORD10209,CUST1320,East,Furniture,Chairs,Office Chair,2,675.79,541.27,134.52,2022-04-04
ORD10210,CUST1851,North,Technology,Accessories,USB Cable,6,793.66,647.51,146.15,2024-04-11
ORD10211,CUST1133,North,Office Supplies,Storage,File Storage,2,100.29,69.98,30.31,2023-02-25
ORD10212,CUST1362,West,Office Supplies,Binders,Binder B,10,66.98,48.21,18.77,2022-11-16
ORD10213,CUST1360,North,Office Supplies,Storage,Storage Box,3,447.12,382.32,64.8,2023-11-04
ORD10214,CUST1493,South,Technology,Accessories,Headphones,6,357.41,195.44,161.97,2022-04-28
ORD10215,CUST1780,East,Office Supplies,Binders,Binder B,9,151.56,121.95,29.61,2024-02-25
ORD10216,CUST1838,North,Office Supplies,Storage,File Storage,1,622.04,336.18,285.86,2022-07-04
ORD10217,CUST1279,East,Furniture,Tables,Conference Table,3,93.27,72.79,20.48,2024-06-09
ORD10218,CUST1146,West,Technology,Phones,Pixel Model C,1,82.04,67.99,14.05,2022-04-04
ORD10219,CUST1764,South,Furniture,Tables,Office Desk,6,709.18,377.67,331.51,2022-06-11
ORD10220,CUST1378,East,Office Supplies,Paper,A4 Paper Pack,1,93.99,84.09,9.9,2022-06-09
ORD10221,CUST1161,North,Office Supplies,Binders,Binder B,8,380.53,246.68,133.85,2023-11-09
ORD10222,CUST1434,West,Office Supplies,Paper,Premium Paper Pack,5,814.67,716.01,98.66,2022-08-09
ORD10223,CUST1773,North,Furniture,Tables,Conference Table,5,986.14,790.24,195.9,2023-11-26
ORD10224,CUST1694,West,Office Supplies,Storage,File Storage,1,382.5,204.03,178.47,2022-08-14
ORD10225,CUST1404,North,Technology,Phones,Galaxy Model B,4,779.38,563.77,215.61,2024-02-25
ORD10226,CUST1140,East,Furniture,Tables,Conference Table,1,429.98,370.88,59.1,2023-05-25
ORD10227,CUST1764,West,Technology,Phones,Galaxy Model B,9,120.09,83.71,36.38,2023-12-22
ORD10228,CUST1235,East,Technology,Accessories,Headphones,1,21.24,14.6,6.64,2023-03-23
ORD10229,CUST1019,West,Technology,Accessories,Headphones,7,65.74,35.99,29.75,2023-08-11
ORD10230,CUST1414,West,Furniture,Chairs,Office Chair,1,126.35,95.99,30.36,2022-11-29
ORD10231,CUST1175,West,Office Supplies,Paper,A4 Paper Pack,7,748.58,548.97,199.61,2024-05-14
ORD10232,CUST1108,South,Furniture,Bookcases,Metal Bookcase,9,962.55,625.61,336.94,2022-03-22
ORD10233,CUST1405,East,Office Supplies,Paper,A4 Paper Pack,6,292.85,248.17,44.68,2024-03-08
ORD10234,CUST1172,North,Office Supplies,Storage,Storage Box,9,231.36,204.82,26.54,2023-06-07
ORD10235,CUST1198,East,Furniture,Bookcases,Wood Bookcase,4,22.03,19.56,2.47,2022-04-16
ORD10236,CUST1149,East,Technology,Phones,Pixel Model C,3,52.73,45.16,7.57,2024-02-18
ORD10237,CUST1777,North,Technology,Copiers,Office Copier Y,8,532.42,477.68,54.74,2024-02-12
ORD10238,CUST1577,West,Office Supplies,Storage,File Storage,6,83.06,59.93,23.13,2022-06-04
ORD10239,CUST1450,North,Furniture,Tables,Office Desk,5,969.61,687.69,281.92,2023-08-29
ORD10240,CUST1057,East,Office Supplies,Binders,Binder B,8,633.1,492.74,140.36,2023-04-08
ORD10241,CUST1038,North,Furniture,Tables,Conference Table,2,460.0,345.47,114.53,2023-09-22
ORD10242,CUST1608,West,Furniture,Bookcases,Wood Bookcase,8,588.47,506.36,82.11,2024-04-09
ORD10243,CUST1585,South,Furniture,Bookcases,Metal Bookcase,9,54.99,33.68,21.31,2022-06-04
ORD10244,CUST1980,North,Furniture,Chairs,Office Chair,2,950.91,814.08,136.83,2023-06-01
ORD10245,CUST1661,South,Technology,Phones,Pixel Model C,8,461.1,344.93,116.17,2023-03-26
ORD10246,CUST1536,South,Furniture,Tables,Office Desk,7,284.61,163.72,120.89,2023-02-23
ORD10247,CUST1793,East,Office Supplies,Storage,Storage Box,6,469.06,300.83,168.23,2022-03-09
ORD10248,CUST1337,North,Office Supplies,Storage,File Storage,5,587.82,312.19,275.63,2022-09-16
ORD10249,CUST1741,South,Furniture,Chairs,Ergo Chair,6,974.65,871.81,102.84,2022-11-14
ORD10250,CUST1990,West,Technology,Copiers,Office Copier X,5,701.18,500.95,200.23,2023-07-27
ORD10251,CUST1385,East,Technology,Copiers,Office Copier X,7,316.43,261.22,55.21,2023-06-05
ORD10252,CUST1370,North,Furniture,Tables,Conference Table,4,687.88,388.68,299.2,2022-12-16
ORD10253,CUST1970,West,Technology,Phones,iPhone Model A,3,911.82,755.91,155.91,2022-03-21
ORD10254,CUST1302,North,Office Supplies,Storage,Storage Box,6,950.3,751.01,199.29,2024-06-16
ORD10255,CUST1784,South,Office Supplies,Paper,A4 Paper Pack,3,617.28,411.91,205.37,2022-07-05
ORD10256,CUST1851,South,Office Supplies,Paper,A4 Paper Pack,7,933.4,790.05,143.35,2023-01-09
ORD10257,CUST1692,South,Furniture,Bookcases,Metal Bookcase,8,54.77,27.96,26.81,2022-08-28
ORD10258,CUST1546,South,Furniture,Tables,Conference Table,6,382.7,315.43,67.27,2023-11-26
ORD10259,CUST1969,West,Furniture,Tables,Office Desk,9,987.4,553.11,434.29,2023-06-25
ORD10260,CUST1428,South,Technology,Copiers,Office Copier X,5,598.19,390.23,207.96,2022-02-23
ORD10261,CUST1656,West,Furniture,Bookcases,Wood Bookcase,9,970.22,811.93,158.29,2024-05-21
ORD10262,CUST1127,East,Technology,Phones,Galaxy Model B,8,839.95,577.45,262.5,2023-06-10
ORD10263,CUST1150,West,Technology,Phones,Galaxy Model B,6,420.67,256.34,164.33,2022-01-28
ORD10264,CUST1424,North,Furniture,Bookcases,Metal Bookcase,4,65.81,55.67,10.14,2023-01-31
